date,BTC,VIX,ETH,bitcoin,cryptocurrency,ethereum,crypto,btc,eth,crypto crash,bitcoin crash,buy bitcoin,sell bitcoin,crypto bull run,solana,altcoin,bitcoin price,crypto wallet
2018-04-16,8058.669921875,16.559999465942383,511.1470031738281,15,2,1,2,3,23,0,0,7,1,0,1,0,14,0
2018-04-17,7902.08984375,15.25,502.8940124511719,15,2,2,2,3,24,0,0,6,1,0,1,0,13,0
2018-04-18,8163.419921875,15.600000381469728,524.7890014648438,15,2,1,2,3,24,1,0,6,1,0,1,0,14,0
2018-04-19,8294.3095703125,15.960000038146973,567.8889770507812,15,2,2,3,3,29,0,0,7,2,0,1,1,13,0
2018-04-20,8845.830078125,16.8799991607666,615.718017578125,16,2,2,2,3,28,0,0,7,1,0,1,1,13,0
2018-04-23,8930.8798828125,16.34000015258789,642.5479736328125,15,2,2,2,3,29,0,0,7,2,0,1,0,14,0
2018-04-24,9697.5,18.020000457763672,708.1580200195312,18,2,2,3,4,35,0,1,8,2,0,1,1,16,0
2018-04-25,8845.740234375,17.84000015258789,615.416015625,16,2,2,3,4,31,0,0,7,2,0,1,1,15,0
2018-04-26,9281.509765625,16.239999771118164,662.8090209960938,14,2,2,2,3,27,0,0,7,1,0,1,0,12,0
2018-04-27,8987.0498046875,15.40999984741211,647.031982421875,14,2,2,2,4,27,0,0,6,1,0,1,0,12,0
2018-04-30,9240.5498046875,15.93000030517578,669.9240112304688,13,2,2,2,3,28,0,0,6,1,0,1,0,11,0
2018-05-01,9119.009765625,15.489999771118164,673.6129760742188,12,2,2,2,3,26,0,0,7,1,0,1,0,10,0
2018-05-02,9235.919921875,15.970000267028809,687.1489868164062,12,2,2,2,3,28,0,0,6,1,0,1,0,10,0
2018-05-03,9743.8603515625,15.899999618530272,779.5430297851562,13,2,2,2,4,35,0,0,7,1,0,1,0,11,0
2018-05-04,9700.759765625,14.770000457763672,785.6240234375,13,2,2,2,3,34,0,0,6,1,0,1,0,11,0
2018-05-07,9373.009765625,14.75,753.7249755859375,14,2,3,2,3,37,0,0,6,1,0,1,0,11,0
2018-05-08,9234.8203125,14.710000038146973,752.8569946289062,13,2,2,2,3,28,0,0,6,1,0,1,0,11,0
2018-05-09,9325.1796875,13.420000076293944,752.2750244140625,13,2,2,2,3,28,0,0,5,1,0,1,0,11,0
2018-05-10,9043.9404296875,13.229999542236328,727.2769775390625,12,2,2,2,3,26,0,0,6,1,0,1,0,9,0
2018-05-11,8441.490234375,12.649999618530272,679.5859985351562,16,2,2,3,3,28,1,1,7,1,0,1,0,11,0
2018-05-14,8716.7900390625,12.93000030517578,730.5490112304688,13,2,2,2,3,29,0,0,6,1,0,1,0,10,0
2018-05-15,8510.3798828125,14.630000114440918,708.8709716796875,12,2,2,2,3,26,0,0,6,1,0,1,0,9,0
2018-05-16,8368.830078125,13.420000076293944,707.0499877929688,13,2,2,2,3,26,0,0,6,1,0,1,0,10,0
2018-05-17,8094.31982421875,13.43000030517578,672.656982421875,12,2,1,2,3,26,0,0,5,1,0,1,0,9,0
2018-05-18,8250.9697265625,13.420000076293944,694.3670043945312,12,2,1,2,3,24,0,0,6,1,0,1,0,9,0
2018-05-21,8418.990234375,13.079999923706056,699.2219848632812,11,2,1,2,3,23,0,0,6,1,0,1,0,8,0
2018-05-22,8041.77978515625,13.220000267028809,647.7410278320312,12,2,1,2,3,26,0,0,5,1,0,1,0,9,0
2018-05-23,7557.81982421875,12.579999923706056,583.5850219726562,14,2,2,3,3,29,1,1,6,1,0,1,0,11,0
2018-05-24,7587.33984375,12.529999732971191,601.7550048828125,14,2,2,2,3,28,0,1,6,1,0,1,0,12,0
2018-05-25,7480.14013671875,13.220000267028809,586.7340087890625,12,1,1,2,3,24,0,0,5,1,0,1,0,9,0
2018-05-29,7472.58984375,17.020000457763672,565.3880004882812,12,2,1,2,3,28,0,0,6,1,0,1,0,10,0
2018-05-30,7406.52001953125,14.9399995803833,559.5900268554688,11,1,1,2,3,27,0,0,5,1,0,1,0,9,0
2018-05-31,7494.169921875,15.43000030517578,577.64501953125,10,2,1,2,2,26,0,0,5,1,0,1,0,9,0
2018-06-01,7541.4501953125,13.460000038146973,580.0430297851562,10,1,1,2,2,23,0,0,5,1,0,1,0,8,0
2018-06-04,7514.47021484375,12.739999771118164,592.9849853515625,11,1,1,2,3,26,0,0,5,1,0,1,0,8,0
2018-06-05,7633.759765625,12.399999618530272,609.302978515625,10,2,1,2,3,25,0,0,6,1,0,1,0,8,0
2018-06-06,7653.97998046875,11.640000343322754,607.1240234375,10,1,1,2,2,24,0,0,5,1,0,1,0,8,0
2018-06-07,7678.240234375,12.130000114440918,605.18701171875,10,1,1,2,2,24,0,0,6,1,0,1,0,8,0
2018-06-08,7624.919921875,12.18000030517578,601.0770263671875,9,1,1,2,2,23,0,0,5,1,0,1,0,7,0
2018-06-11,6906.919921875,12.350000381469728,533.2839965820312,16,2,1,2,3,24,1,1,7,1,0,1,0,16,0
2018-06-12,6582.35986328125,12.34000015258789,496.8429870605469,13,2,2,2,3,26,0,1,6,1,0,1,0,12,0
2018-06-13,6349.89990234375,12.9399995803833,477.4939880371094,15,2,2,2,3,25,1,2,6,1,0,1,0,14,0
2018-06-14,6675.35009765625,12.119999885559082,519.7420043945312,13,2,1,2,3,24,0,0,5,1,0,1,0,13,0
2018-06-15,6456.580078125,11.979999542236328,491.0039978027344,11,1,1,2,3,22,0,0,6,1,0,1,0,10,0
2018-06-18,6734.81982421875,12.3100004196167,518.8909912109375,11,1,1,2,2,20,0,0,5,1,0,1,0,10,0
2018-06-19,6769.93994140625,13.350000381469728,537.9569702148438,11,1,1,2,3,20,0,0,5,1,0,1,0,9,0
2018-06-20,6776.5498046875,12.789999961853027,536.2680053710938,11,1,1,2,3,20,0,0,5,1,0,1,0,9,0
2018-06-21,6729.740234375,14.640000343322754,527.3670043945312,10,1,1,2,2,21,0,0,5,1,0,1,0,8,0
2018-06-22,6083.68994140625,13.770000457763672,465.8169860839844,12,2,1,2,3,21,1,1,5,1,0,1,0,10,0
2018-06-25,6249.18017578125,17.329999923706055,460.30999755859375,11,1,1,2,3,21,0,1,5,1,0,1,0,10,0
